10,15,20,25,55,115,125,160,170,250,270,275;190
45,50,65,145,155,165,180,210,225,250,270,320,370,395,430,445,455,480,490,510,530,540;365
70,80,95,130,135,150,160,185,240,250,270,275,300,365,375,400,435,445,450,460,475,490,495,505,530;355
75,95,120,160,165,170,180,200,210,220,240,255,270,280,295,335,340,445,510,545,550,585,605,615,620,645;455
5,15,45,50,100,125,150,205,255,270,285,290,335,370,390,400,415;290
49,61,68,97,98,108,154,173,176,190,227,231,253,256,258,266,285,286,288,344;353
2,11,17,19,21,29,41,47,57,63,71,80,86,94,120;129
26,32,57,66,69,70,90,100,146,148,157,175,183,233,245;314
15,25,50,65,75,85,100,105,135,155,160,260,280,300,410,420,455,465,540,660,685,690;465
5,20,35,60,65,80,85,90,155,185,225,235,245,275,285,295,300,335,340,355;240
10,30,40,50,70,75,100,105,110,120,135,145,160,180,200,205,225,245,310,315,355,360,395;270
35,40,55,60,70,75,85,95,100,110,115,130,135,145,165,200,210,215,225,230;160
55,170,185,235,360,365,395;290
1,5,11,13,17,25,26,27,30,32,35,43,47,48,50,57,59,60,64;68
28,46,92,115,122,123,152,157,163,189,199,218,249,256,276,300,301,305,308,320,343,347,348,359;363
1,2,3,4;50
39,42,66,68,100,115,167,201,220,230,253;254
6,16,41,72,78,82,147,156,160,173,179,188,197,224,226,253,254,260,265,290,297,306,327,347;358
75,135,185,265,445,490;330
1,2,3,4,6;5
56,70,71,90,105,162,164,172,175,274;310
37,43,48,86,122,131,135,139,148,201,213,222,225,239;242
4,13,45,73,94,96,144,151,163;172
5,95,175,215,265;190
10,15,20,135,170,225,265,310,330,385,390,495;400
60,95,205,225,270,280,320,340,395,460,490,545,550,615,630;445
2,30,67,148,166,191,215,223,227,274;338
9,41,66,123,143,184,230,264,271,293,326,336,374,379;386
6,11,18,36,43,60,62,78,92,97,99,114,117,136,148,153,167,216,241,242,253,273,310,311,315,316,327;333
2,7,22,29,34,36,39,43,46,53,65,68,70,79,80,85,88,100,109,123,129,139,142,146;173
20,35,100,160,170,200,215,235,255,280,285,360,370,380,430,470,480,495;340
45,65,115,365,455;340
19,34,37,41,57,64,67,98,104,139,158,164,186,235,241,271,342,345,388,398,413,415;433
5,15,55,70,80,100,130,135,150,155,170,175,180,200,210,225,230,245,255;175
8,11,13,18,35,39,41,51,52,57,85,103,110,113,127,151,157,159,162,167,168,186,197,222,251,262,269,274,277,285;292
30,31,41,69,78,84,95,130,137,141,154,171,221,249,274,312,334,383,412,434,449;466
130,225,235,325,340,360,465,515;455
38,49,101,111,113,119,144,147,160,169,171,177,181,192,214,215,219,225,232,242,291,303,305,307,313;344
80,120,135,205,225,240,280,350,355,365,460,475,540,550,565,620,655,680;475
5,15,35,50,60,70,75,90,130,160,190,205,210,225,240;175 
